actor_id,full_name,gender,birth_date,nationality,height,awards_count,debut_year,instagram_followers,salary,agent_name,email,phone,city,created_at
23,Meryl Kim,F,1981-10-11,Korean,1.58,30,1994,17113088,14410242.6,Gersh Agency,meryl_kim93@talent.com,+447984568217,Toronto,2011-02-03 15:43:13
24,Daniel Stone,F,1975-11-15,Italian,1.6,5,2008,37296422,5868689.71,UTA,invalid-email-no-at,+447762876386,Berlin,2013-01-26 00:34:02
25,Emma Martin,M,1990-05-21,Indian,1.62,14,1999,11504644,15997451.85,CAA,emma_martin32@talent.com,+447545636390,Madrid,2020-12-17 16:12:05
26,Anna Pitt,F,1984-06-05,British,1.55,4,1985,4308551,12362795.41,CAA,anna_pitt57@talent.com,+447458229169,Mumbai,2014-03-18 15:16:53
27,Emma Rodriguez,M,1990-07-11,French,1.63,23,2005,23731805,6673737.47,CAA,emma_rodriguez56@talent.com,+447171976682,Los Angeles,2015-02-02 16:07:39
28,Elena Washington,M,1963-12-02,American,1.65,0,2013,9045562,2623588.4,APA,elena_washington69@talent.com,+447762362383,Los Angeles,2012-12-21 16:14:00
29,Scarlett Cooper,F,1962-08-11,German,1.84,13,1994,37608033,651210.59,3 Arts Entertainment,scarlett_cooper25@talent.com,+447733153976,Paris,2023-07-23 12:14:07
30,Claire Reynolds,F,1950-04-07,American,1.68,8,2001,4323597,18860204.15,Paradigm,claire_reynolds55@talent.com,+447897807450,Paris,2016-07-09 18:29:00
31,James Streep,M,1971-12-21,French,1.79,9,1994,38940310,18910148.28,UTA,james_streep70@talent.com,+447846944948,Mumbai,2010-10-05 09:06:07
32,Emma Johnson,Other,1986-12-14,French,1.92,24,1997,8208625,6631429.25,UTA,emma_johnson41@talent.com,+447702438618,New York,2015-06-06 22:15:44
33,Anna Williams,Other,1962-08-21,Spanish,1.87,7,2007,18197392,14816391.55,Gersh Agency,anna_williams85@talent.com,+447593429703,Madrid,2016-03-11 23:55:43
34,Robert Jackson,M,1970-06-17,Canadian,1.77,5,2014,29895012,14097280.49,Anonymous Content,robert_jackson47@talent.com,+447114360946,Mumbai,2012-07-02 07:05:28
35,John Anderson,F,1984-09-01,Brazilian,1.93,15,1992,36488270,8663740.25,Gersh Agency,invalid-email-no-at,abc-def-ghij,London,2012-10-08 11:44:21
36,Scarlett DiCaprio,F,1997-06-19,Italian,1.77,14,2016,40247425,12164974.71,WME,scarlett_dicaprio38@talent.com,+447391341724,Paris,2020-04-26 14:37:51
37,Aisha Kim,M,1978-05-11,Canadian,1.6,12,1985,36885802,11421242.41,APA,aisha_kim3@talent.com,+447814536385,Mumbai,2019-08-02 03:56:22
38,Emma Stone,Other,1988-07-02,American,2.01,6,2002,30779843,8680828.04,WME,emma_stone22@talent.com,+447833854634,London,2020-09-21 18:56:33
39,Pierre Jackson,F,1956-12-04,Brazilian,1.67,26,2015,38753027,17682944.39,3 Arts Entertainment,pierre_jackson93@talent.com,+447737509353,London,2017-02-21 10:44:25
40,Ryan Smith,Other,1993-06-27,British,1.81,23,2020,41266487,10266430.95,Anonymous Content,ryan_smith29@talent.com,+447726664403,Toronto,2011-09-25 08:49:15
41,Pierre Garcia,M,1991-01-16,German,1.8,9,2004,18578554,6287027.09,Gersh Agency,pierre_garcia51@talent.com,+447054921415,Tokyo,2014-02-28 01:28:25
42,Pierre Cooper,F,1968-11-08,Japanese,1.93,26,2007,38130859,2227047.19,Paradigm,pierre_cooper22@talent.com,+447145425147,Los Angeles,2024-12-09 07:21:37
43,Tom Stone,Other,1995-10-24,American,1.78,19,2012,24429188,10150317.14,APA,tom_stone66@talent.com,+447656296671,Madrid,2018-04-22 15:21:26
44,Emma Johansson,M,1969-11-02,Spanish,1.97,22,1998,3821057,19921769.98,WME,emma_johansson71@talent.com,+447512122606,Toronto,2023-08-15 12:06:56
45,Ryan Streep,M,1981-09-18,German,1.74,5,1994,12810838,3987556.58,Anonymous Content,ryan_streep82@talent.com,+447339627700,Seoul,2014-01-08 06:26:37
46,Pierre Jackson,Other,1961-04-03,British,2.01,21,2010,21153386,3951570.38,Innovative Artists,pierre_jackson44@talent.com,+447595202613,Berlin,2015-12-22 22:21:51
47,Christopher Santos,M,1958-04-09,Spanish,1.79,9,2012,41105738,6628297.58,CAA,christopher_santos80@talent.com,+447281837576,Sydney,2013-12-12 10:23:22
48,Scarlett Garcia,F,1966-02-07,Italian,2.04,8,2008,37832609,5518189.85,Innovative Artists,scarlett_garcia6@talent.com,+447159769048,Rome,2011-03-04 17:36:15
49,Ryan Streep,M,1976-06-01,Spanish,1.92,3,1994,11341998,17392606.38,Anonymous Content,ryan_streep77@talent.com,+447681683936,Toronto,2013-11-23 20:01:23
50,Daniel Santos,F,1973-06-11,Korean,1.84,1,1993,27383029,4284307.37,APA,daniel_santos37@talent.com,+447746223378,Rome,2010-08-16 15:49:34
51,Kenji Johansson,F,1976-04-19,Brazilian,1.85,8,2011,2383348,633173.63,UTA,kenji_johansson87@talent.com,+447852105962,New York,2021-04-13 18:24:46
52,Emma Reynolds,M,1993-03-05,American,1.83,11,2006,45411467,516107.4,WME,emma_reynolds19@talent.com,+447455361948,Madrid,2022-10-02 13:41:58
53,Omar Johnson,M,1963-10-28,German,1.68,19,1987,30685180,8756651.8,Innovative Artists,omar_johnson93@talent.com,+447365888604,London,2024-02-13 05:46:04
54,Aisha Pitt,Other,1990-02-24,Australian,1.63,29,2009,43550106,12207535.16,WME,aisha_pitt25@talent.com,+447810577570,Los Angeles,2023-06-08 00:30:05
55,Anna Müller,M,1982-04-21,Spanish,1.77,8,1996,30479437,15599105.93,APA,anna_müller54@talent.com,+447059757272,Tokyo,2019-09-11 15:47:34
56,Aisha Cooper,F,1962-03-06,Brazilian,1.88,26,1986,5321685,19617972.14,UTA,aisha_cooper57@talent.com,+447956343319,Rome,2019-09-02 09:16:26
57,Scarlett Brown,F,1976-01-28,Australian,1.76,22,1986,43411475,8560409.75,Gersh Agency,scarlett_brown47@talent.com,+447347939567,Madrid,2012-12-21 08:58:52
58,Lucas Müller,F,1981-09-18,Japanese,1.56,0,2002,27965820,6395703.96,Innovative Artists,lucas_müller47@talent.com,+447486457193,Madrid,2022-01-14 02:09:57
59,Kenji Taylor,F,1983-01-26,Australian,1.62,25,1994,26924258,13755997.31,WME,kenji_taylor65@talent.com,+447989216574,New York,2020-07-09 03:28:01
60,James Nakamura,M,1971-07-24,Brazilian,1.75,16,1985,13516650,1531700.77,Paradigm,james_nakamura26@talent.com,+447080027935,Rome,2014-08-28 18:53:23
61,Tom Rodriguez,M,1998-05-05,Indian,1.89,7,2008,45124023,13729175.02,WME,tom_rodriguez19@talent.com,+447562315076,Rome,2022-01-03 18:38:05
62,  Kenji Anderson   ,Other,1957-08-01,Brazilian,1.81,23,2010,32618121,17450840.9,WME,kenji_anderson88@talent.com,+447021174769,Seoul,2012-01-16 14:41:06
63,Leonardo Smith,Other,1987-06-24,Spanish,1.85,14,1994,43504375,18244637.28,Paradigm,leonardo_smith61@talent.com,+447062508055,Paris,2020-01-11 02:05:02
64,Ryan Reynolds,M,1981-09-24,Korean,1.56,5,1985,24989530,1008901.51,APA,ryan_reynolds74@talent.com,+447055020303,Toronto,2014-10-16 05:43:48
65,Ryan Pitt,Other,1961-10-16,Korean,2.0,25,2015,18064324,12986023.48,APA,ryan_pitt30@talent.com,+447663329371,Toronto,2013-10-14 10:38:55
66,Leonardo Garcia,F,1992-11-22,Australian,1.93,8,1995,3778587,5661549.01,Paradigm,leonardo_garcia96@talent.com,+447892726733,Tokyo,2011-06-25 23:13:28
67,Elena Smith,M,1979-10-25,German,1.98,25,2012,26549520,14844094.09,3 Arts Entertainment,elena_smith88@talent.com,+447099767426,Madrid,2016-09-04 23:43:57
68,Daniel DiCaprio,F,1969-10-22,American,1.95,16,2004,41307251,14485567.52,Anonymous Content,daniel_dicaprio1@talent.com,+447343845026,Mumbai,2011-05-09 18:39:02
69,Carlos Smith,F,1997-01-22,Korean,1.77,8,2006,1809134,11320501.62,3 Arts Entertainment,carlos_smith28@talent.com,+447855733342,Mumbai,2016-04-06 08:23:48
70,Maria Nakamura,M,1955-12-02,Brazilian,1.81,25,1989,35861711,5043191.9,Paradigm,maria_nakamura19@talent.com,+447790958492,Mumbai,2019-09-22 23:20:38
71,Maria Reynolds,Other,1992-04-02,Canadian,1.78,22,1997,43686756,5536215.44,Anonymous Content,maria_reynolds22@talent.com,+447383289161,Los Angeles,2024-01-05 04:42:54
72,Claire Rossi,F,1971-05-18,British,1.96,16,2015,36789741,17296039.12,3 Arts Entertainment,claire_rossi20@talent.com,+447531867365,London,2011-05-16 21:16:38
73,Leonardo Anderson,M,1979-02-16,Brazilian,1.82,8,2015,12105550,1658051.07,Paradigm,leonardo_anderson36@talent.com,abc-def-ghij,Paris,2017-03-16 10:34:03
74,Denzel Rossi,F,1977-10-17,Indian,1.87,14,2019,35224479,9247432.38,Innovative Artists,denzel_rossi45@talent.com,+447667324913,Seoul,2014-05-11 16:16:56
75,Omar DiCaprio,Other,1958-12-19,Brazilian,2.04,13,1985,46399392,6599450.46,3 Arts Entertainment,omar_dicaprio38@talent.com,+447252973742,Rome,2012-12-15 10:42:04
76,Scarlett Thomas,M,1959-05-27,Indian,1.69,9,2015,40546627,4885902.62,APA,scarlett_thomas27@talent.com,+447961871483,Rome,2011-02-12 13:35:51
77,Daniel Williams,F,1951-11-14,Korean,1.86,16,1986,21221286,19357618.19,WME,daniel_williams91@talent.com,+447989555989,Rome,2010-03-23 04:28:40
78,Ryan Santos,M,1991-12-25,Spanish,1.58,13,1995,19086957,6000117.09,APA,ryan_santos31@talent.com,+447228900095,Rome,2013-02-26 03:08:40
79,Sofia Dubois,F,1984-01-13,Italian,1.59,22,2004,23277773,12470528.79,Anonymous Content,sofia_dubois70@talent.com,+447527789987,Seoul,2018-07-13 07:22:27
80,Lucas Washington,Other,1993-09-06,Korean,1.62,30,1995,44487900,10490065.93,Anonymous Content,lucas_washington38@talent.com,abc-def-ghij,Rome,2016-10-02 10:53:39
81,John Martin,Other,1982-03-23,Indian,2.05,14,1987,22044428,3124602.71,ICM,john_martin76@talent.com,+447650387595,Paris,2020-04-27 21:10:52
82,Kenji Anderson,M,1963-12-06,American,1.65,13,2009,35104868,8757751.93,Gersh Agency,kenji_anderson72@talent.com,+447494212835,London,2022-08-28 23:30:34
83,Daniel Williams,F,1959-09-15,Brazilian,1.74,0,2000,10045676,175528.75,Innovative Artists,daniel_williams55@talent.com,+447754221419,Madrid,2018-04-27 08:28:05
84,Leonardo Johnson,Other,1990-06-27,Canadian,1.9,15,2000,22969494,17819613.8,UTA,leonardo_johnson53@talent.com,+447576539202,Berlin,2020-03-28 14:31:41
85,Scarlett DiCaprio,Other,1987-08-07,American,2.02,24,2014,14815984,14922008.03,UTA,scarlett_dicaprio5@talent.com,+447354970090,London,2018-06-27 14:59:58
86,James Santos,M,1971-06-11,Japanese,2.0,16,1999,38855782,15925487.69,Innovative Artists,james_santos91@talent.com,+447273346482,Toronto,2010-05-04 03:26:30
87,Aisha Anderson,F,1975-11-15,German,1.81,26,2006,25518994,12194006.9,Gersh Agency,aisha_anderson9@talent.com,+447626830415,Tokyo,2018-11-09 23:42:27
88,Yuki Blanchett,Other,1960-05-18,Australian,1.72,17,2014,46279668,8782180.32,CAA,yuki_blanchett30@talent.com,+447764155748,Toronto,2023-07-06 07:43:39
89,John Nakamura,F,1967-01-16,Italian,1.56,17,2005,13856503,1230180.06,UTA,john_nakamura75@talent.com,+447727448454,New York,2010-04-28 07:36:32
90,James Washington,F,1959-09-08,German,1.73,17,1988,21516275,17827295.84,Anonymous Content,james_washington16@talent.com,+447541761312,Paris,2010-09-22 00:07:23
91,Cate Dubois,F,1951-03-21,Canadian,1.77,5,2017,30934254,1464011.32,APA,cate_dubois27@talent.com,+447899479098,Rome,2015-10-14 21:39:23
92,Omar Washington,Other,1971-10-19,Korean,2.04,0,2006,21767374,17936191.02,ICM,omar_washington75@talent.com,+447317629070,New York,2020-07-05 18:45:40
93,Sofia Garcia,F,1954-09-08,Australian,1.72,5,2005,8800016,14794417.46,APA,sofia_garcia15@talent.com,+447391432441,London,2022-01-15 21:49:33
94,Tom Taylor,M,1989-11-23,British,1.6,26,2008,32989042,5943154.47,Gersh Agency,tom_taylor21@talent.com,+447079785360,Seoul,2012-01-26 06:02:50
95,Denzel Streep,F,1962-01-17,Brazilian,1.94,4,2004,3813965,3811629.31,APA,denzel_streep18@talent.com,+447414160791,Toronto,2023-04-06 23:59:05
96,  Denzel Müller   ,Other,1961-10-07,Italian,1.67,20,1986,38656284,5047764.14,UTA,denzel_müller95@talent.com,+447942802578,New York,2011-09-02 11:45:53
97,Emma Müller,M,1968-08-20,Japanese,1.59,25,2000,10335589,6532103.93,Paradigm,emma_müller46@talent.com,+447340359507,Los Angeles,2011-09-20 02:50:07
98,Robert Johansson,Other,1995-06-16,French,1.65,19,2012,46442927,3559217.71,Innovative Artists,robert_johansson39@talent.com,+447783682170,Rome,2018-07-03 05:31:15
99,Elena Reynolds,Other,1955-12-23,German,1.8,7,1987,6201929,5835483.13,Gersh Agency,elena_reynolds17@talent.com,+447125087970,Mumbai,2010-03-20 16:38:03
100,Aisha Anderson,F,1973-03-07,French,1.96,3,1987,34446037,3123891.77,ICM,aisha_anderson83@talent.com,+447075414996,Berlin,2015-07-18 23:52:44
101,Robert Chen,Other,1975-08-02,Japanese,2.04,22,1989,32507677,1747268.96,ICM,robert_chen57@talent.com,+447250723630,New York,2018-10-03 19:07:56
102,Carlos Johansson,M,1965-12-07,British,1.56,28,2000,18292523,19056073.57,Gersh Agency,carlos_johansson98@talent.com,+447038402071,Sydney,2015-07-01 15:04:16
103,Angelina Taylor,F,1972-12-05,Korean,1.9,20,2014,10212146,4560568.33,Paradigm,angelina_taylor61@talent.com,+447370379056,New York,2013-02-13 00:53:12
104,Emma Wilson,Other,1997-01-11,Brazilian,1.93,27,1986,12624006,15205858.47,3 Arts Entertainment,emma_wilson83@talent.com,+447082494860,Sydney,2016-04-02 13:25:55
105,Omar Johnson,F,1975-11-20,German,1.98,4,2000,14653156,13815934.64,CAA,omar_johnson2@talent.com,+447652336251,Los Angeles,2017-02-24 21:20:33
106,Cate Johnson,M,1985-07-07,German,1.64,9,1998,2064927,15991674.64,Paradigm,cate_johnson4@talent.com,+447930555991,Seoul,2024-09-25 15:18:18
107,Angelina Washington,M,1965-08-11,Australian,1.92,26,2016,12526081,2885705.73,APA,angelina_washington70@talent.com,+447592769282,Mumbai,2023-12-05 21:23:35
108,Lucas Blanchett,M,1986-07-26,American,2.03,29,2004,34865017,17245530.53,ICM,lucas_blanchett36@talent.com,+447934441834,Rome,2017-09-18 06:35:45
109,Yuki Dubois,M,1984-01-02,Japanese,1.9,13,2001,29469162,7313639.93,Gersh Agency,yuki_dubois51@talent.com,+447903218609,Rome,2016-05-17 13:47:30
110,Scarlett Rossi,F,1964-02-15,Korean,1.72,5,2013,32274994,8022735.24,WME,scarlett_rossi13@talent.com,+447527307929,Tokyo,2015-09-10 00:32:06
111,Christopher Blanchett,M,1995-05-23,German,1.9,28,1989,4888254,8310723.24,Paradigm,christopher_blanchett35@talent.com,+447085331516,Paris,2011-05-13 00:55:12
112,Angelina Martin,M,2000-06-11,Korean,1.9,8,2009,23540659,18199849.64,UTA,angelina_martin10@talent.com,+447652375264,New York,2016-09-08 12:32:48
113,John Stone,M,1968-11-09,Canadian,1.89,8,2006,38034048,7115737.72,Paradigm,john_stone30@talent.com,+447096105103,Rome,2010-01-08 00:54:05
114,Sofia Jackson,M,1983-07-26,Australian,1.79,8,1993,46346358,2024744.04,Innovative Artists,sofia_jackson53@talent.com,+447147818619,New York,2023-04-13 16:14:34
115,Emma Streep,M,2000-10-07,Japanese,1.56,22,1990,27282205,13675215.12,APA,emma_streep8@talent.com,+447348798700,Los Angeles,2018-02-03 06:26:51
116,  Scarlett Johansson   ,F,1983-11-09,Indian,1.69,27,2015,31108119,726826.58,Paradigm,scarlett_johansson34@talent.com,+447809190079,London,2022-08-19 10:45:42
117,Pierre Nakamura,F,1968-10-24,Italian,1.76,10,2003,9283651,16714371.73,Innovative Artists,pierre_nakamura91@talent.com,+447871127871,New York,2021-06-28 13:08:30
118,Lucas Müller,Other,1995-02-21,Spanish,1.65,9,2014,38930342,13262166.71,Gersh Agency,invalid-email-no-at,+447012864321,New York,2022-06-19 05:14:20
119,Emma Chen,F,1996-09-20,Spanish,1.91,21,1987,3568166,1855423.73,CAA,emma_chen53@talent.com,+447591420012,Madrid,2018-02-05 21:45:39
120,Elena Pitt,M,1952-05-28,Australian,1.7,9,1990,46909088,18423983.5,Gersh Agency,elena_pitt84@talent.com,+447434903775,London,2020-12-21 07:20:45
121,Emma DiCaprio,Other,1963-08-06,Canadian,1.82,15,2007,27214820,13185776.88,3 Arts Entertainment,emma_dicaprio20@talent.com,+447952407433,Mumbai,2011-11-07 01:58:08
122,Claire Cooper,M,1955-06-17,Indian,1.61,23,1989,35221073,17312828.04,Innovative Artists,claire_cooper42@talent.com,+447684202990,Los Angeles,2020-09-26 19:17:04
123,Ryan Blanchett,M,1954-05-13,Japanese,1.68,22,1990,6926984,19987201.82,Anonymous Content,ryan_blanchett1@talent.com,+447619396280,Berlin,2010-10-15 11:51:19
124,Anna Blanchett,Other,1983-09-28,Canadian,1.93,22,1996,16195008,9965981.51,Innovative Artists,anna_blanchett99@talent.com,+447986030724,Tokyo,2018-11-27 23:31:29
125,James Smith,M,1961-06-04,British,1.59,20,2020,2076566,11034497.79,UTA,james_smith61@talent.com,+447952791364,London,2016-08-19 18:03:39
126,Claire Streep,Other,1963-09-07,Australian,1.87,11,2014,4249757,8226850.48,Paradigm,claire_streep52@talent.com,+447020968783,Toronto,2018-03-04 22:00:53
127,James Dubois,Other,1951-08-02,German,1.79,24,1988,35425344,12648697.35,Paradigm,james_dubois88@talent.com,abc-def-ghij,New York,2021-07-25 18:14:10
128,Michael Wilson,M,1967-09-09,Australian,1.63,22,2012,33007958,14464600.18,Anonymous Content,michael_wilson97@talent.com,+447612718970,Madrid,2023-07-22 05:39:26
129,Emma Smith,F,1970-08-05,Italian,1.79,11,2002,6037198,15479611.93,Anonymous Content,emma_smith61@talent.com,+447722840441,London,2018-02-15 18:17:31
130,Yuki Thomas,F,1998-03-25,British,1.58,13,1996,26665769,12248554.62,ICM,invalid-email-no-at,+447987238526,Los Angeles,2013-03-28 23:24:42
131,Angelina Rossi,M,1950-10-23,American,2.05,14,2001,2642170,14662193.56,ICM,angelina_rossi45@talent.com,+447994719939,Seoul,2011-07-17 10:09:41
132,David Rossi,Other,1985-04-16,Canadian,1.84,0,1988,48336561,15981141.57,ICM,david_rossi60@talent.com,+447513931181,Rome,2021-07-20 06:12:08
133,Yuki Brown,F,1994-07-06,Indian,1.67,4,1999,33382731,13499679.68,UTA,yuki_brown30@talent.com,+447276887926,Seoul,2022-10-07 03:02:14
134,Denzel Kim,M,1950-09-23,Australian,1.71,20,1998,16853204,18715332.61,CAA,denzel_kim92@talent.com,+447823369716,Berlin,2021-08-01 08:12:12
135,Maria Cooper,Other,1963-09-09,Korean,1.75,24,1990,8592059,7232944.98,Innovative Artists,maria_cooper98@talent.com,+447132918000,Mumbai,2020-01-09 14:14:28
136,Christopher Thomas,Other,1993-02-16,Italian,1.84,12,2019,1121491,17878226.29,Paradigm,christopher_thomas68@talent.com,+447689039032,Tokyo,2015-12-12 09:19:46
137,Cate Washington,M,1979-10-22,British,1.77,0,2005,13851781,14280104.87,Innovative Artists,cate_washington19@talent.com,+447525561837,Berlin,2020-10-14 16:33:23
138,Kenji Dubois,Other,1986-01-08,Australian,1.78,29,2014,45438575,13458998.26,ICM,kenji_dubois34@talent.com,+447142578423,Toronto,2013-02-23 11:01:15
139,Anna Chen,F,1973-02-22,Canadian,1.91,4,2006,794055,7952645.28,Paradigm,anna_chen77@talent.com,+447813424845,New York,2020-09-13 20:42:49
140,Michael Martin,F,1986-10-22,Indian,1.76,4,2020,39173059,7199578.94,3 Arts Entertainment,michael_martin83@talent.com,+447319614644,Paris,2024-12-01 07:33:21
141,Anna Santos,F,1986-07-08,Canadian,1.77,6,2011,15300897,11951587.94,Gersh Agency,anna_santos19@talent.com,+447409239149,Sydney,2015-10-10 00:12:35
142,Pierre Ahmed,Other,1991-06-07,French,1.78,16,2016,14586074,674662.0,UTA,pierre_ahmed42@talent.com,+447307086540,New York,2023-02-01 21:09:47
143,Denzel Garcia,M,1972-12-13,Canadian,1.95,6,1996,11419302,18944118.6,ICM,denzel_garcia27@talent.com,+447403773227,Tokyo,2024-09-15 08:36:13
144,Kenji Rodriguez,M,1988-01-10,Indian,1.81,12,1986,29696622,4197060.58,UTA,kenji_rodriguez55@talent.com,+447005463630,Rome,2014-05-25 14:49:49
145,Aisha Cooper,Other,1973-11-09,French,1.79,13,1988,41373223,13434361.25,3 Arts Entertainment,aisha_cooper74@talent.com,+447212281214,Berlin,2017-02-14 09:58:49
146,Scarlett Streep,F,1965-12-09,Italian,1.77,18,2004,17118840,18287623.29,ICM,scarlett_streep85@talent.com,+447600465575,New York,2013-09-15 17:56:03
147,  Leonardo DiCaprio   ,F,1974-07-12,French,1.83,14,2019,20340154,14815994.29,Innovative Artists,leonardo_dicaprio92@talent.com,+447538130888,Paris,2019-09-25 17:32:15
148,Omar Rossi,Other,1970-10-07,Indian,1.57,5,2005,3886063,3038449.74,CAA,omar_rossi32@talent.com,+447380920851,Mumbai,2023-10-21 18:53:43
149,Daniel Rossi,F,1999-04-12,Japanese,1.81,19,2006,11875122,19935081.45,UTA,daniel_rossi51@talent.com,+447686958630,Paris,2020-06-13 01:52:15
150,Carlos Garcia,F,1976-10-10,Italian,1.76,28,2004,39430114,16057500.39,ICM,invalid-email-no-at,+447586157422,Madrid,2016-05-15 08:29:27
151,Leonardo Stone,M,1961-02-26,Korean,1.57,24,2000,48799791,11512330.35,Paradigm,leonardo_stone75@talent.com,+447796370215,New York,2015-06-18 13:45:32
152,Scarlett Stone,F,1957-06-17,Australian,1.66,6,2008,8802747,16909593.92,Paradigm,scarlett_stone90@talent.com,+447604547756,New York,2021-11-13 00:06:52
153,  Maria Taylor   ,Other,1971-08-07,Indian,1.56,28,1986,4612320,3727971.08,Gersh Agency,maria_taylor41@talent.com,+447000347580,Seoul,2023-08-04 17:05:58
154,Emma Anderson,F,1988-10-25,Australian,1.61,29,2010,41984736,15698985.25,APA,emma_anderson8@talent.com,+447981755389,Los Angeles,2024-06-11 03:36:06
155,Emma Reynolds,Other,1978-02-17,Italian,1.95,15,1989,32425404,205347.1,CAA,emma_reynolds95@talent.com,+447239026974,Toronto,2014-10-05 19:54:13
156,Scarlett Müller,F,1951-08-23,French,1.85,2,1994,39670772,4439064.67,UTA,scarlett_müller97@talent.com,+447912262033,Paris,2022-04-09 18:22:10
157,David Smith,Other,1953-04-16,Canadian,1.59,29,2015,33297788,7296148.23,Anonymous Content,david_smith73@talent.com,+447922993719,Seoul,2016-03-23 14:16:34
158,James Martin,M,1976-12-05,Brazilian,1.57,7,1988,26070364,11858584.53,APA,james_martin52@talent.com,+447741425113,Paris,2016-06-16 21:05:10
159,Christopher Chen,M,1992-12-05,Canadian,1.91,24,1999,45613640,12310893.98,3 Arts Entertainment,christopher_chen71@talent.com,+447892775937,Berlin,2013-01-06 10:22:37
160,Brad Blanchett,F,2000-03-08,French,1.95,26,2006,40277526,8637972.4,Anonymous Content,brad_blanchett66@talent.com,+447623639086,New York,2019-02-28 00:56:37
161,Scarlett Martin,F,1972-01-12,British,1.59,4,1988,14582847,15862500.09,CAA,scarlett_martin82@talent.com,+447819061022,Mumbai,2011-07-26 08:49:06
162,Scarlett Cooper,F,1952-09-23,French,1.9,15,1991,17233783,810914.06,Anonymous Content,scarlett_cooper72@talent.com,+447271842001,Berlin,2014-07-19 10:16:17
